slug,min_precip,max_precip
abies-balsamea,300,1600
abies-concolor,400,2100
abies-fraseri,1100,2600
abies-grandis,200,2600
abies-lasiocarpa-var-arizonica,500,3900
abies-lasiocarpa-var-lasiocarpa,500,3900
abies-magnifica,800,1700
abies-magnifica-var-shastensis,800,1700
abies-procera,1600,3100
acacia-koa,1200,5100
acacia-koaia,800,5100
acacia-melanoxylon,400,1100
acacia-sophorae,400,1100
acalypha-virginica,300,1600
acer-barbatum-f-barbatum,1000,1700
acer-barbatum-var-barbatum,1000,1700
acer-circinatum,600,2100
acer-ginnala-subsp-ginnala,700,1600
acer-glabrum,200,1600
acer-glabrum-var-diffusum,200,1600
acer-glabrum-var-douglasii,200,1600
acer-glabrum-var-neomexicanum,200,1600
acer-glabrum-var-siskiyouense,200,1600
acer-grandidentatum-var-grandidentatum,400,800
acer-macrophyllum,500,6700
acer-negundo,300,2000
acer-negundo-f-dorei,300,2000
acer-negundo-f-interius,300,2000
acer-negundo-subsp-interior,300,2000
acer-negundo-var-californicum,300,2000
acer-negundo-var-interior,300,2000
acer-negundo-var-mexicanum,300,2000
acer-negundo-var-texanum,300,2000
acer-negundo-var-violaceum,300,2000
acer-nipponicum,600,2000
acer-pensylvanicum,600,2000
acer-platanoides,600,1600
acer-pseudoplatanus,800,1600
acer-pseudoplatanus-var-vanvolxemii,800,1600
acer-pycnanthum,600,2100
acer-rubrum,600,2100
acer-saccharinum,500,1800
acer-saccharum,500,2100
acer-saccharum-subsp-floridanum,500,2100
acer-saccharum-subsp-grandidentatum,500,2100
acer-saccharum-subsp-leucoderme,500,2100
acer-saccharum-subsp-nigrum,600,1600
acer-saccharum-var-quinqueelobulatum,500,2100
acer-saccharum-var-rugellii,500,2100
acer-saccharum-var-schneckii,500,2100
acer-saccharum-var-sinuosum,500,2100
acer-spicatum,700,1800
acer-tataricum,300,-1
acer-tataricum-subsp-aidzuense,300,700
acer-tataricum-subsp-ginnala,700,1600
acer-tataricum-subsp-semenovii,300,700
achillea-millefolium,200,1600
achnatherum-lemmonii-subsp-lemmonii,200,-1
achnatherum-occidentale-subsp-occidentale,200,400
aconitum-columbianum,300,1300
aconitum-columbianum-subsp-viviparum,300,1300
adiantum-aleuticum,900,1600
adiantum-capillus-veneris,200,1600
aesculus-californica,1000,2000
aesculus-flava,900,2200
aesculus-glabra,700,1600
aesculus-pavia,900,1700
agastache-parvifolia,300,1700
agave-americana,200,400
agave-americana-ssp-americana-var-americana,200,400
agave-americana-ssp-americana-var-expansa,200,400
agave-americana-subsp-protamericana,200,400
agave-americana-var-expansa,200,400
agave-utahensis-subsp-kaibabensis,100,700
agoseris-aurantiaca,400,1800
agoseris-aurantiaca-var-purpurea,400,1800
agoseris-glauca,200,1800
agoseris-glauca-var-dasycephala,200,1800
agoseris-grandiflora,300,600
agrimonia-gryposepala,300,1400
agrimonia-parviflora,600,1300
agrimonia-rostellata,800,1300
agrimonia-striata,200,1200
agropyron-cristatum,100,800
