distribution_slug,name,tdwg_code,level,parent_slug,parent_name,lat,lng,species_count
tcs-ab,Abkhaziya,TCS-AB,4,tcs,Transcaucasus,43,41,0
bzn-ac,Acre,BZN-AC,4,bzn,Brazil North,32,35,0
tcs-ad,Adzhariya,TCS-AD,4,tcs,Transcaucasus,41,42,0
afg,Afghanistan,AFG,3,34,Western Asia,33,66,4544
mxe-ag,Aguascalientes,MXE-AG,4,mxe,Mexico Northeast,22,-102,0
cls-ai,Aisen,CLS-AI,4,cls,Chile South,-36,-73,0
ala,Alabama,ALA,3,78,Southeastern U.S.A.,33,-86,3874
bze-al,Alagoas,BZE-AL,4,bze,Brazil Northeast,-9,-36,0
ask,Alaska,ASK,3,70,Subarctic America,64,-149,1537
alb,Albania,ALB,3,13,Southeastern Europe,41,19,3429
abt,Alberta,ABT,3,71,Western Canada,55,-115,1776
ald,Aldabra,ALD,3,29,Western Indian Ocean,-9,46,230
alu,Aleutian Is.,ALU,3,70,Subarctic America,30,-81,388
alg,Algeria,ALG,3,20,Northern Africa,28,2,3880
alt,Altay,ALT,3,30,Siberia,46,88,2555
bzn-ap,Amapa,BZN-AP,4,bzn,Brazil North,1,-51,0
bzn-am,Amazonas,BZN-AM,4,bzn,Brazil North,-4,-63,0
sam-as,American Samoa,SAM-AS,4,sam,Samoa,-14,-170,0
asp,Amsterdam-St.Paul Is,ASP,3,90,Subantarctic Islands,65,-18,82
amu,Amur,AMU,3,31,Russian Far East,48,134,1496
and,Andaman Is.,AND,3,41,Indo-China,10,93,2057
ind-ap,Andhra Pradesh,IND-AP,4,ind,India,15,80,0
spa-an,Andorra,SPA-AN,4,spa,Spain,42,1,0
ang,Angola,ANG,3,26,South Tropical Africa,-11,17,6390
lee-ag,Anguilla,LEE-AG,4,lee,Leeward Is.,18,-63,0
chs-ah,Anhui,CHS-AH,4,chs,China Southeast,32,117,0
ggi-an,Annobón,GGI-AN,4,ggi,Gulf of Guinea Is.,0,0,0
ant,Antarctica,ANT,3,91,Antarctic Continent,-72,0,4
lee-ab,Antigua-Barbuda,LEE-AB,4,lee,Leeward Is.,17,-61,0
atp,Antipodean Is.,ATP,3,51,New Zealand,14,121,255
cln-an,Antofagasta,CLN-AN,4,cln,Chile North,-23,-70,0
age-df,Argentina Distrito Federal,AGE-DF,4,age,Argentina Northeast,19,-99,0
age,Argentina Northeast,AGE,3,85,Southern South America,-34,-64,6266
agw,Argentina Northwest,AGW,3,85,Southern South America,-26,-54,5912
ags,Argentina South,AGS,3,85,Southern South America,-30,-61,2507
ari,Arizona,ARI,3,76,Southwestern U.S.A.,34,-111,3959
ark,Arkansas,ARK,3,78,Southeastern U.S.A.,35,-92,2399
tcs-ar,Armenia,TCS-AR,4,tcs,Transcaucasus,40,44,0
aru,Aruba,ARU,3,81,Caribbean,12,-69,348
ehm-ap,Arunachal Pradesh,EHM-AP,4,ehm,East Himalaya,28,94,0
asc,Ascension,ASC,3,28,Middle Atlantic Ocean,-7,-14,203
wau-ac,Ashmore-Cartier Is.,WAU-AC,4,wau,Western Australia,-12,123,0
ass,Assam,ASS,3,40,Indian Subcontinent,26,93,5356
cln-at,Atacama,CLN-AT,4,cln,Chile North,-27,-70,0
nsw-ct,Australian Capital Territory,NSW-CT,4,nsw,New South Wales,-35,149,0
aut,Austria,AUT,3,11,Middle Europe,47,13,4208
lee-av,Aves I.,LEE-AV,4,lee,Leeward Is.,41,-8,0
