name,common_name
Acanthaceae,Acanthus
Aceraceae,Maple
Achariaceae,
Achatocarpaceae,Achatocarpus
Acoraceae,Calamus
Acrobolbaceae,
Actinidiaceae,Chinese Gooseberry
Adoxaceae,Moschatel
Aextoxicaceae,
Agavaceae,Century-plant
Aizoaceae,Fig-marigold
Akaniaceae,
Alectoriaceae,
Alismataceae,Water-plantain
Allisoniaceae,
Aloaceae,Aloe
Alseuosmiaceae,
Alstroemeriaceae,
Altingiaceae,
Alzateaceae,
Amaranthaceae,Amaranth
Amaryllidaceae,
Amblystegiaceae,
Amborellaceae,
Anacampserotaceae,
Anacardiaceae,Sumac
Ancistrocladaceae,
Andreaeaceae,
Andreaeobryaceae,
Anemiaceae,Flowering Fern
Aneuraceae,
Anisophylleaceae,
Annonaceae,Custard-apple
Anomodontaceae,
Antheliaceae,
Anthocerotaceae,
Aphanopetalaceae,
Aphloiaceae,
Apiaceae,Carrot
Apocynaceae,Dogbane
Apodanthaceae,
Aponogetonaceae,Cape-pondweed
Aquifoliaceae,Holly
Araceae,Arum
Araliaceae,Ginseng
Araucariaceae,Araucaria
Archidiaceae,
Arecaceae,Palm
Argophyllaceae,
Aristolochiaceae,Birthwort
Arnelliaceae,
Asclepiadaceae,Milkweed
Asparagaceae,
Asphodelaceae,
Aspleniaceae,Spleenwort
Asteliaceae,
Asteraceae,Aster
Asteropeiaceae,
Asterothyriaceae,
Atherospermataceae,
Aulacomniaceae,
Austrobaileyaceae,
Aytoniaceae,
Azollaceae,Azolla
Bacidiaceae,
Balanopaceae,
Balanophoraceae,Balanophora
Balsaminaceae,Touch-me-not
Barbeuiaceae,
Barbeyaceae,
Bartramiaceae,
Basellaceae,Basella
Bataceae,Saltwort
Begoniaceae,Begonia
Berberidaceae,Barberry
Berberidopsidaceae,
Betulaceae,Birch
Biebersteiniaceae,
Bignoniaceae,Trumpet-creeper
Bixaceae,Lipstick-tree
Blandfordiaceae,
Blasiaceae,
Blechnaceae,Chain Fern
Bombacaceae,Kapok-tree
Bonnetiaceae,
Boraginaceae,Borage
Boryaceae,
Brachytheciaceae,Brachythecium moss
Brassicaceae,Mustard
Brigantiaceae,
Bromeliaceae,Bromeliad
Bruchiaceae,
Brunelliaceae,Brunellia
Bruniaceae,
Bryaceae,
Bryoxiphiaceae,
Buddlejaceae,Butterfly-bush
Burmanniaceae,Burmannia
Burseraceae,Frankincense
Butomaceae,Flowering Rush
Buxaceae,Boxwood
Buxbaumiaceae,
Byblidaceae,
Cabombaceae,Water-shield
Cactaceae,Trefle
Calceolariaceae,
Caliciaceae,
Callicostaceae,
Callitrichaceae,Water-starwort
Calophyllaceae,
Calycanthaceae,Strawberry-shrub
Calyceraceae,Calycera
Calymperaceae,
Calypogeiaceae,
Campanulaceae,Bellflower
Campynemataceae,
Canellaceae,Canella
Cannabaceae,Hemp
Cannaceae,Canna
Capnodiaceae,
Capparaceae,Caper
Caprifoliaceae,Honeysuckle
Cardiopteridaceae,
Caricaceae,Papaya
Carlemanniaceae,
Caryocaraceae,Souari
Caryophyllaceae,Pink
Casuarinaceae,She-oak
Catoscopiaceae,
Caulerpaceae,
Cecropiaceae,Cecropia
Celastraceae,Bittersweet
Centroplacaceae,
Cephalotaceae,
Cephalotaxaceae,Plum Yew
Cephaloziaceae,
Cephaloziellaceae,
Ceratophyllaceae,Hornwort
Cercidiphyllaceae,Katsura-tree
Chenopodiaceae,Goosefoot
Chloranthaceae,Chloranthus
Chonecoleaceae,
Chrysobalanaceae,
Chrysotrichaceae,
Circaeasteraceae,
Cistaceae,Rock-rose
Clavariaceae,
Cleomaceae,
